"Country","Year","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting (FMG/C) (%)"
"Benin"," 2014","9.2 16.2 13.5 10.3 6.6 2.3 5.2 13.1"
"Burkina Faso"," 2010","75.8 77.3 78.1 77.8 79.6 68.5 68.7 78.4"
"Cameroon"," 2004","1.4 1.3 4.0 1.0 0.9 0.7 0.9 2.1"
"Central African Republic"," 2010","24.2 33.6 31.2 26.0 17.2 14.9 18.1 28.7"
"Chad"," 2014-2015","38.4 46.1 42.0 37.0 30.3 37.3 40.1 37.9"
"Côte d'Ivoire"," 2016","36.7 50.0 44.2 43.3 34.3 20.0 30.8 43.8"
"Djibouti"," 2006","93.1 Data not available Data not available Data not available Data not available Data not available 93.1 95.5"
"Egypt"," 2015","87.2 94.4 92.6 92.2 87.2 69.8 77.4 92.6"
"Eritrea"," 2010","83.0 89.4 85.6 84.4 83.3 75.2 80.0 85.0"
"Ethiopia"," 2016","65.2 65.0 69.3 69.0 68.6 57.3 53.9 68.4"
"Gambia"," 2013","74.9 79.3 77.6 82.2 73.0 66.1 71.6 79.1"
"Ghana"," 2011","3.8 12.8 4.1 2.7 1.4 1.1 2.5 5.3"
"Guinea"," 2016","96.8 98.2 97.3 96.9 95.9 96.0 95.8 97.5"
"Guinea-Bissau"," 2014","44.9 17.9 59.1 65.4 47.2 36.1 39.8 50.1"
"Iraq"," 2011","8.1 9.8 12.1 9.6 5.5 4.2 9.0 5.8"
"Kenya"," 2014","21.0 39.8 26.0 17.8 17.2 12.0 13.8 25.9"
"Liberia"," 2013","49.8 69.5 65.2 56.8 40.6 29.1 40.8 64.8"
"Mali"," 2015","82.7 63.8 84.0 87.9 88.8 86.8 84.8 82.0"
"Mauritania"," 2015","66.6 91.8 85.9 70.1 60.1 36.6 55.2 79.0"
"Niger"," 2012","2.0 1.7 1.7 2.4 3.0 1.0 1.2 2.1"
"Nigeria"," 2016","18.4 9.9 14.6 19.0 22.9 23.3 23.4 15.6"
"Senegal"," 2015-2016","23.5 42.9 31.2 23.8 16.0 10.3 18.5 28.1"
"Sierra Leone"," 2013","89.6 94.8 94.5 94.9 90.3 76.9 80.9 94.3"
"Somalia"," 2006","97.9 98.4 99.1 98.4 97.5 96.2 97.1 98.4"
"Sudan"," 2014","86.6 88.0 81.7 80.7 90.0 91.6 85.5 87.2"
"Togo"," 2013-2014","4.7 8.2 5.1 5.2 4.1 2.3 3.4 5.7"
"Uganda"," 2011","1.4 2.2 1.2 1.2 1.0 1.5 1.4 1.4"
"United Republic of Tanzania"," 2015-2016","10.0 18.6 10.3 11.7 8.8 4.4 5.3 12.7"
"Yemen"," 2013","18.5 26.5 21.0 13.3 19.5 14.0 17.1 19.2"
